Trip_no,Trip_time,ax,ay,az,gx,gy,gz,mx,my,mz,speed,GPS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,resultant,mob_id_id
1,12:07:50,6.4960675,-0.41000703,7.405266,-0.000133154,-0.000133154,-0.000133154,10.387501,-7.9500003,-5.625,-0.001610887,0,0.000132084,-0.002869785,-0.005586624,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:51,6.495469,-0.40462008,7.4004774,-0.000665771,-0.000133154,-0.000133154,10.33125,-8.00625,-5.5875,-0.002954941,0,0.001284599,-0.002970725,0.009432793,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:51,6.4948707,-0.40581718,7.398083,0,0.000665771,0.000266308,10.35,-8.0625,-5.53125,-0.003302092,0,-0.006737232,-0.003614843,0.002985477,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:51,6.4948707,-0.41000703,7.404069,-0.000266308,0,-0.000133154,10.35,-8.00625,-5.3812504,-0.002548324,0,0.003862381,-0.000909746,0.002521515,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:52,6.495469,-0.40761283,7.3968863,0.000665771,0,-0.000133154,10.387501,-8.043751,-5.175,-0.004184892,0,0.000997543,0.001109779,0.001670361,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:52,6.4960675,-0.4141969,7.3986816,-0.001065233,0,-0.000133154,10.293751,-8.26875,-5.49375,-0.003862168,0,0.00495863,0.001307905,-0.001253605,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:52,6.5008564,-0.40761283,7.399879,0.000133154,0,-0.000932079,10.387501,-8.2875,-5.30625,-0.003349585,0,0.001148701,0.001643986,-0.005327225,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:52,6.4978633,-0.40641573,7.4004774,-0.000266308,-0.000399462,-0.000133154,10.33125,-8.175,-5.4187503,-0.00385343,0,0.002358913,0.00361982,0.002802372,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:53,6.499659,-0.40641573,7.402273,-0.000266308,0.000266308,-0.000133154,10.21875,-8.231251,-5.4,-0.003445623,0,0.000912666,0.001695544,-0.003457546,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12:07:53,6.4900823,-0.41120413,7.4016747,-0.000399462,0.000665771,-0.000133154,10.25625,-8.137501,-5.4,-0.004487512,0,-0.002475262,-0.003306359,0.001925945,0,0,0,0,0,0,0,0,0,0,0,0,0,1
